Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
,,,,,,,
中華民國開國紀念日,2022/1/1,,2022/1/1,,TRUE,,
,,,,,,,
例假日,2022/1/2,,2022/1/2,,TRUE,,
,,,,,,,
例假日,2022/1/8,,2022/1/8,,TRUE,,
,,,,,,,
例假日,2022/1/9,,2022/1/9,,TRUE,,
,,,,,,,
例假日,2022/1/15,,2022/1/15,,TRUE,,
,,,,,,,
例假日,2022/1/16,,2022/1/16,,TRUE,,
,,,,,,,
補行上班,2022/1/22,,2022/1/22,,TRUE,,
,,,,,,,
例假日,2022/1/23,,2022/1/23,,TRUE,,
,,,,,,,
例假日,2022/1/29,,2022/1/29,,TRUE,,
,,,,,,,
例假日,2022/1/30,,2022/1/30,,TRUE,,
,,,,,,,
農曆除夕,2022/1/31,,2022/1/31,,TRUE,,
,,,,,,,
春節,2022/2/1,,2022/2/1,,TRUE,,
,,,,,,,
春節,2022/2/2,,2022/2/2,,TRUE,,
,,,,,,,
春節,2022/2/3,,2022/2/3,,TRUE,,
,,,,,,,
調整放假,2022/2/4,,2022/2/4,,TRUE,,
,,,,,,,
例假日,2022/2/5,,2022/2/5,,TRUE,,
,,,,,,,
例假日,2022/2/6,,2022/2/6,,TRUE,,
,,,,,,,
例假日,2022/2/12,,2022/2/12,,TRUE,,
,,,,,,,
例假日,2022/2/13,,2022/2/13,,TRUE,,
,,,,,,,
例假日,2022/2/19,,2022/2/19,,TRUE,,
,,,,,,,
例假日,2022/2/20,,2022/2/20,,TRUE,,
,,,,,,,
例假日,2022/2/26,,2022/2/26,,TRUE,,
,,,,,,,
例假日,2022/2/27,,2022/2/27,,TRUE,,
,,,,,,,
和平紀念日,2022/2/28,,2022/2/28,,TRUE,,
,,,,,,,
例假日,2022/3/5,,2022/3/5,,TRUE,,
,,,,,,,
例假日,2022/3/6,,2022/3/6,,TRUE,,
,,,,,,,
例假日,2022/3/12,,2022/3/12,,TRUE,,
,,,,,,,
例假日,2022/3/13,,2022/3/13,,TRUE,,
,,,,,,,
例假日,2022/3/19,,2022/3/19,,TRUE,,
,,,,,,,
例假日,2022/3/20,,2022/3/20,,TRUE,,
,,,,,,,
例假日,2022/3/26,,2022/3/26,,TRUE,,
,,,,,,,
例假日,2022/3/27,,2022/3/27,,TRUE,,
,,,,,,,
例假日,2022/4/2,,2022/4/2,,TRUE,,
,,,,,,,
例假日,2022/4/3,,2022/4/3,,TRUE,,
,,,,,,,
兒童節,2022/4/4,,2022/4/4,,TRUE,,
,,,,,,,
民族掃墓節,2022/4/5,,2022/4/5,,TRUE,,
,,,,,,,
例假日,2022/4/9,,2022/4/9,,TRUE,,
,,,,,,,
例假日,2022/4/10,,2022/4/10,,TRUE,,
,,,,,,,
例假日,2022/4/16,,2022/4/16,,TRUE,,
,,,,,,,
例假日,2022/4/17,,2022/4/17,,TRUE,,
,,,,,,,
例假日,2022/4/23,,2022/4/23,,TRUE,,
,,,,,,,
例假日,2022/4/24,,2022/4/24,,TRUE,,
,,,,,,,
例假日,2022/4/30,,2022/4/30,,TRUE,,
,,,,,,,
例假日,2022/5/1,,2022/5/1,,TRUE,,
,,,,,,,
例假日,2022/5/7,,2022/5/7,,TRUE,,
,,,,,,,
例假日,2022/5/8,,2022/5/8,,TRUE,,
,,,,,,,
例假日,2022/5/14,,2022/5/14,,TRUE,,
,,,,,,,
例假日,2022/5/15,,2022/5/15,,TRUE,,
,,,,,,,
例假日,2022/5/21,,2022/5/21,,TRUE,,
,,,,,,,
例假日,2022/5/22,,2022/5/22,,TRUE,,
,,,,,,,
例假日,2022/5/28,,2022/5/28,,TRUE,,
,,,,,,,
例假日,2022/5/29,,2022/5/29,,TRUE,,
,,,,,,,
端午節,2022/6/3,,2022/6/3,,TRUE,,
,,,,,,,
例假日,2022/6/4,,2022/6/4,,TRUE,,
,,,,,,,
例假日,2022/6/5,,2022/6/5,,TRUE,,
,,,,,,,
例假日,2022/6/11,,2022/6/11,,TRUE,,
,,,,,,,
例假日,2022/6/12,,2022/6/12,,TRUE,,
,,,,,,,
例假日,2022/6/18,,2022/6/18,,TRUE,,
,,,,,,,
例假日,2022/6/19,,2022/6/19,,TRUE,,
,,,,,,,
例假日,2022/6/25,,2022/6/25,,TRUE,,
,,,,,,,
例假日,2022/6/26,,2022/6/26,,TRUE,,
,,,,,,,
例假日,2022/7/2,,2022/7/2,,TRUE,,
,,,,,,,
例假日,2022/7/3,,2022/7/3,,TRUE,,
,,,,,,,
例假日,2022/7/9,,2022/7/9,,TRUE,,
,,,,,,,
例假日,2022/7/10,,2022/7/10,,TRUE,,
,,,,,,,
例假日,2022/7/16,,2022/7/16,,TRUE,,
,,,,,,,
例假日,2022/7/17,,2022/7/17,,TRUE,,
,,,,,,,
例假日,2022/7/23,,2022/7/23,,TRUE,,
,,,,,,,
例假日,2022/7/24,,2022/7/24,,TRUE,,
,,,,,,,
例假日,2022/7/30,,2022/7/30,,TRUE,,
,,,,,,,
例假日,2022/7/31,,2022/7/31,,TRUE,,
,,,,,,,
例假日,2022/8/6,,2022/8/6,,TRUE,,
,,,,,,,
例假日,2022/8/7,,2022/8/7,,TRUE,,
,,,,,,,
例假日,2022/8/13,,2022/8/13,,TRUE,,
,,,,,,,
例假日,2022/8/14,,2022/8/14,,TRUE,,
,,,,,,,
例假日,2022/8/20,,2022/8/20,,TRUE,,
,,,,,,,
例假日,2022/8/21,,2022/8/21,,TRUE,,
,,,,,,,
例假日,2022/8/27,,2022/8/27,,TRUE,,
,,,,,,,
例假日,2022/8/28,,2022/8/28,,TRUE,,
,,,,,,,
例假日,2022/9/3,,2022/9/3,,TRUE,,
,,,,,,,
例假日,2022/9/4,,2022/9/4,,TRUE,,
,,,,,,,
補假,2022/9/9,,2022/9/9,,TRUE,,
,,,,,,,
中秋節,2022/9/10,,2022/9/10,,TRUE,,
,,,,,,,
例假日,2022/9/11,,2022/9/11,,TRUE,,
,,,,,,,
例假日,2022/9/17,,2022/9/17,,TRUE,,
,,,,,,,
例假日,2022/9/18,,2022/9/18,,TRUE,,
,,,,,,,
例假日,2022/9/24,,2022/9/24,,TRUE,,
,,,,,,,
例假日,2022/9/25,,2022/9/25,,TRUE,,
,,,,,,,
例假日,2022/10/1,,2022/10/1,,TRUE,,
,,,,,,,
例假日,2022/10/2,,2022/10/2,,TRUE,,
,,,,,,,
例假日,2022/10/8,,2022/10/8,,TRUE,,
,,,,,,,
例假日,2022/10/9,,2022/10/9,,TRUE,,
,,,,,,,
國慶日,2022/10/10,,2022/10/10,,TRUE,,
,,,,,,,
例假日,2022/10/15,,2022/10/15,,TRUE,,
,,,,,,,
例假日,2022/10/16,,2022/10/16,,TRUE,,
,,,,,,,
例假日,2022/10/22,,2022/10/22,,TRUE,,
,,,,,,,
例假日,2022/10/23,,2022/10/23,,TRUE,,
,,,,,,,
例假日,2022/10/29,,2022/10/29,,TRUE,,
,,,,,,,
例假日,2022/10/30,,2022/10/30,,TRUE,,
,,,,,,,
例假日,2022/11/5,,2022/11/5,,TRUE,,
,,,,,,,
例假日,2022/11/6,,2022/11/6,,TRUE,,
,,,,,,,
例假日,2022/11/12,,2022/11/12,,TRUE,,
,,,,,,,
例假日,2022/11/13,,2022/11/13,,TRUE,,
,,,,,,,
例假日,2022/11/19,,2022/11/19,,TRUE,,
,,,,,,,
例假日,2022/11/20,,2022/11/20,,TRUE,,
,,,,,,,
例假日,2022/11/26,,2022/11/26,,TRUE,,
,,,,,,,
例假日,2022/11/27,,2022/11/27,,TRUE,,
,,,,,,,
例假日,2022/12/3,,2022/12/3,,TRUE,,
,,,,,,,
例假日,2022/12/4,,2022/12/4,,TRUE,,
,,,,,,,
例假日,2022/12/10,,2022/12/10,,TRUE,,
,,,,,,,
例假日,2022/12/11,,2022/12/11,,TRUE,,
,,,,,,,
例假日,2022/12/17,,2022/12/17,,TRUE,,
,,,,,,,
例假日,2022/12/18,,2022/12/18,,TRUE,,
,,,,,,,
例假日,2022/12/24,,2022/12/24,,TRUE,,
,,,,,,,
例假日,2022/12/25,,2022/12/25,,TRUE,,
,,,,,,,
例假日,2022/12/31,,2022/12/31,,TRUE,,
